CycID	BH.Q	ADJ.P	PER	LAG	AMP
BraR500.01G025100.v2.1	0.207930436696025	0.0540510917653775	24	2	2.99459721832503
BraR500.01G025200.v2.1	0.0239812809044774	0.00200485229056658	20	18	0.583363094478902
BraR500.01G025300.v2.1	0.00825563684012562	0.000333095475952619	20	18	1.997576656852
BraR500.01G025400.v2.1	0.157495384477682	0.0372798629941487	24	2	2.82842712474619
BraR500.01G025500.v2.1	1	1	24	0	0.961665222413704
BraR500.01G025600.v2.1	1	1	0	0	0
BraR500.01G025700.v2.1	0.157495384477682	0.0372798629941487	24	2	1.52204734650404
BraR500.01G025800.v2.1	0.0256589619340239	0.00253860425288997	20	18	0.615182899632296
BraR500.01G025900.v2.1	1	0.977521906664764	24	22	0.487903679018717
BraR500.01G026000.v2.1	0.349586328083908	0.107911517054374	24	22	1.66877200360025
BraR500.01G026100.v2.1	1	1	20	0	5.24673231640418
BraR500.01G026200.v2.1	0.157495384477682	0.0372798629941487	20	4	2.70821897194448
BraR500.01G026300.v2.1	0.0358085827030722	0.00423576423576424	20	14	3.86610632613745
BraR500.01G026400.v2.1	0.0123323852529	0.000823176823176823	24	6	29.6030253943748
BraR500.01G026500.v2.1	1	1	0	0	0
BraR500.01G026600.v2.1	1	1	0	0	0
BraR500.01G026700.v2.1	0.654994143904443	0.236953617810761	24	18	0.014142135623731
BraR500.01G026800.v2.1	1	1	0	0	0
BraR500.01G026900.v2.1	1	0.977521906664764	20	6	0.166170093578839
BraR500.01G027000.v2.1	1	1	24	18	0.272236110756821
BraR500.01G027100.v2.1	0.0358085827030722	0.00423576423576424	20	18	9.93838580957693
BraR500.01G027200.v2.1	0.567557128440135	0.202439845868417	20	16	71.4602113067125
BraR500.01G027300.v2.1	1	1	24	22	2.83373042560509
BraR500.01G027400.v2.1	0.0664255955324732	0.0108480091337234	24	22	30.0873935394876
BraR500.01G027500.v2.1	0.0491869875725391	0.00687084344227201	24	22	1.81726442764943
BraR500.01G027600.v2.1	1	1	0	0	0
BraR500.01G027700.v2.1	1	1	0	0	0
BraR500.01G027800.v2.1	1	1	0	0	0
BraR500.01G027900.v2.1	1	1	0	0	0
BraR500.01G028000.v2.1	1	1	0	0	0
BraR500.01G028100.v2.1	0.349586328083908	0.107911517054374	24	0	0.254558441227157
BraR500.01G028200.v2.1	0.714662504410882	0.271467389753104	24	22	0.127279220613579
BraR500.01G028300.v2.1	0.349586328083908	0.107911517054374	20	6	3.60270905014546
BraR500.01G028400.v2.1	0.349586328083908	0.107911517054374	20	6	0.261629509039023
BraR500.01G028500.v2.1	0.0358085827030722	0.00423576423576424	20	4	6.79529616720272
BraR500.01G028600.v2.1	0.00844718256492729	0.000440702154987869	20	4	1.41244579542013
BraR500.01G028700.v2.1	1	1	24	10	0.700035713374682
BraR500.01G028800.v2.1	0.0123323852529	0.000823176823176823	24	2	0.629325035256027
BraR500.01G028900.v2.1	0.567557128440135	0.202439845868417	20	6	0.208596500450032
BraR500.01G029000.v2.1	1	1	20	16	0.279307178568686
BraR500.01G029100.v2.1	1	1	20	0	0.958129688507772
BraR500.01G029200.v2.1	1	1	20	16	1.05005357006202
